"year","age","week","deaths","pop_start","pop_end","weekMax","season","pop_midweek","exposure"
2006,"70-74",44,1694,3759730,3971995,52,0.836538461538462,3937297.83653846,75717.2660872781
2006,"70-74",45,1743,3759730,3971995,52,0.855769230769231,3941379.85576923,75795.7664571006
2006,"70-74",46,1699,3759730,3971995,52,0.875,3945461.875,75874.2668269231
2006,"70-74",47,1767,3759730,3971995,52,0.894230769230769,3949543.89423077,75952.7671967456
2006,"70-74",48,1681,3759730,3971995,52,0.913461538461538,3953625.91346154,76031.267566568
2006,"70-74",49,1740,3759730,3971995,52,0.932692307692308,3957707.93269231,76109.7679363905
2006,"70-74",50,1752,3759730,3971995,52,0.951923076923077,3961789.95192308,76188.268306213
2006,"70-74",51,1738,3759730,3971995,52,0.971153846153846,3965871.97115385,76266.7686760355
2006,"70-74",52,1761,3759730,3971995,52,0.990384615384615,3969953.99038462,76345.269045858
2006,"75-79",1,2401,3055125,3063276,52,0.00961538461538462,3055203.375,58753.9110576923
2006,"75-79",2,2442,3055125,3063276,52,0.0288461538461538,3055360.125,58756.9254807692
2006,"75-79",3,2569,3055125,3063276,52,0.0480769230769231,3055516.875,58759.9399038461
2006,"75-79",4,2464,3055125,3063276,52,0.0673076923076923,3055673.625,58762.9543269231
2006,"75-79",5,2496,3055125,3063276,52,0.0865384615384615,3055830.375,58765.96875
2006,"75-79",6,2536,3055125,3063276,52,0.105769230769231,3055987.125,58768.9831730769
2006,"75-79",7,2536,3055125,3063276,52,0.125,3056143.875,58771.9975961538
2006,"75-79",8,2417,3055125,3063276,52,0.144230769230769,3056300.625,58775.0120192308
2006,"75-79",9,2458,3055125,3063276,52,0.163461538461538,3056457.375,58778.0264423077
2006,"75-79",10,2497,3055125,3063276,52,0.182692307692308,3056614.125,58781.0408653846
2006,"75-79",11,2422,3055125,3063276,52,0.201923076923077,3056770.875,58784.0552884615
2006,"75-79",12,2451,3055125,3063276,52,0.221153846153846,3056927.625,58787.0697115385
2006,"75-79",13,2504,3055125,3063276,52,0.240384615384615,3057084.375,58790.0841346154
2006,"75-79",14,2395,3055125,3063276,52,0.259615384615385,3057241.125,58793.0985576923
2006,"75-79",15,2362,3055125,3063276,52,0.278846153846154,3057397.875,58796.1129807692
2006,"75-79",16,2245,3055125,3063276,52,0.298076923076923,3057554.625,58799.1274038461
2006,"75-79",17,2302,3055125,3063276,52,0.317307692307692,3057711.375,58802.1418269231
2006,"75-79",18,2266,3055125,3063276,52,0.336538461538462,3057868.125,58805.15625
2006,"75-79",19,2369,3055125,3063276,52,0.355769230769231,3058024.875,58808.1706730769
2006,"75-79",20,2369,3055125,3063276,52,0.375,3058181.625,58811.1850961538
