year,age,population,quality
2010,26,973619,e
2010,27,983666,e
2010,28,1011732,e
2010,29,1009673,e
2010,30,1019099,e
2010,31,971668,e
2010,32,959664,e
2010,33,952357,e
2010,34,939778,e
2010,35,916592,e
2010,36,931178,e
2010,37,941733,e
2010,38,1034552,e
2010,39,1142789,e
2010,40,1195874,e
2010,41,1285082,e
2010,42,1346531,e
2010,43,1381272,e
2010,44,1418816,e
2010,45,1427530,e
2010,46,1452151,e
2010,47,1443309,e
2010,48,1397952,e
2010,49,1376783,e
2010,50,1337515,e
2010,51,1294578,e
2010,52,1227633,e
2010,53,1200908,e
2010,54,1170341,e
2010,55,1134876,e
2010,56,1114905,e
2010,57,1079088,e
2010,58,1079359,e
2010,59,1055787,e
2010,60,1059006,e
2010,61,1019159,e
2010,62,933237,e
2010,63,875438,e
2010,64,762597,e
2010,65,671734,e
2010,66,889666,e
2010,67,899784,e
2010,68,871630,e
2010,69,1049097,e
2010,70,1096898,e
2010,71,1065893,e
2010,72,983641,e
2010,73,904918,e
2010,74,864272,e
2010,75,815218,e
2010,76,739412,e
2010,77,578766,e
2010,78,558084,e
2010,79,548611,e
2010,80,553769,e
2010,81,511542,e
2010,82,480272,e
2010,83,422592,e
2010,84,386792,e
2010,85,352185,e
2010,86,298958,e
2010,87,259316,e
2010,88,235458,e
2010,89,210487,e
2010,90,595298,e
2011,0,658332,e
2011,1,679236,e
2011,2,669579,e
2011,3,689691,e
2011,4,689748,e
2011,5,677338,e
2011,6,687268,e
2011,7,705953,e
2011,8,706644,e
2011,9,720123,e
2011,10,737771,e
2011,11,771181,e
2011,12,773539,e
2011,13,790759,e
2011,14,815844,e
2011,15,801907,e
2011,16,778651,e
2011,17,789388,e
2011,18,819478,e
2011,19,838522,e
2011,20,879628,e
2011,21,974880,e
2011,22,970028,e
2011,23,1004948,e
2011,24,992593,e
2011,25,982758,e
2011,26,954515,e
2011,27,957214,e
2011,28,966985,e
2011,29,993935,e
2011,30,990640,e
2011,31,994638,e
2011,32,950345,e
2011,33,940163,e
2011,34,934168,e
2011,35,918663,e
2011,36,894923,e
2011,37,910408,e
2011,38,921373,e
2011,39,1004079,e
2011,40,1110733,e
2011,41,1154918,e
2011,42,1245781,e
2011,43,1307904,e
2011,44,1347294,e
2011,45,1389312,e
2011,46,1396633,e
2011,47,1425084,e
2011,48,1415602,e
2011,49,1372129,e
2011,50,1354464,e
2011,51,1309492,e
2011,52,1275368,e
2011,53,1205347,e
2011,54,1179409,e
2011,55,1147315,e
2011,56,1112845,e
2011,57,1092372,e
2011,58,1057328,e
2011,59,1055732,e
2011,60,1034127,e
2011,61,1032953,e
2011,62,998618,e
2011,63,911431,e
2011,64,854441,e
2011,65,743723,e
2011,66,651478,e
2011,67,867419,e
2011,68,876700,e
2011,69,845424,e
2011,70,1020930,e
2011,71,1065079,e
2011,72,1037842,e
2011,73,953281,e
2011,74,875412,e
2011,75,830647,e
2011,76,782909,e
